rank,uid,username,type
1,766347,Upanチョコ,提督
2,499403795,白-小灰灰,舰长
3,532705928,八木百货社长,舰长
4,3694282,席雨迎新,舰长
5,10060958,缥凌,舰长
6,9113499,天下の宗一郎,舰长
7,3797081,万般皆命-Inochi,舰长
8,3001757,亞鼎Akanae,舰长
9,337515,Blackの黑土,舰长
10,3099340,Piero菌,舰长
11,1757179,黑猫家的黑咪,舰长
12,20029293,参议院的震荡波,舰长
13,31102765,一只普通的土豆片,舰长
14,11866511,顾筱贱,舰长
15,18075705,夜然z,舰长
16,319985534,慕澪萨满,舰长
17,79138148,宽油彭膨芃,舰长
18,186388,美琴丶,舰长
19,44996638,人生哒呦,舰长
20,14160235,伊卡呦,舰长
21,53390742,肆叁该摸了,舰长
22,561780,理科卷卷卷子,舰长
23,296574,Nz兔子,舰长
24,303387,蕾欧诺菈,舰长
25,98844,眠鳥春告,舰长
26,1833082,方法放寒假,舰长
27,15998465,位面之碎,舰长
28,2089736,巫马白,舰长
29,1428441528,阿买official,舰长
30,437880151,狂気のMad_Scientist,舰长
31,6589249,drjjj,舰长
32,3758265,北方栖宅,舰长
33,23985,黒猫サクヤ_月の雫,舰长
34,351667336,只好乱写名字,舰长
35,14650166,败树_Official,舰长
36,20193099,紫雨傲雪,舰长
37,2466201,那朵花未绽放,舰长
38,478193220,冬瓜酱dayo,舰长
39,3094856,MLFRDASSX,舰长
40,1581983529,鬼鲨l,舰长
41,3546608679520747,がちさん,舰长
42,10123562,防风铃叮铃铃,舰长
43,44559793,咖啡mx,舰长
44,8860886,YokiLee17,舰长
45,543794044,LOF_Hades,舰长
46,501527627,贺寻study,舰长
47,8208104,Inozl,舰长
48,508757921,二十五号胶片,舰长
49,3546666212788515,炽寂,舰长
50,259854233,早樱家的七君,舰长
51,1194216668,一只瓜猹,舰长
52,10112956,艾姆欧德,舰长
53,22908102,清心睡,舰长
54,86795,ダーナ,舰长
55,7816484,黑色奥特曼484春秋形态,舰长
56,3546595287107765,永别了神明,舰长
57,44468,全塑料三花,舰长
58,687987255,OPM打工人,舰长
59,38188565,赖床怪想早起,舰长
60,493961680,ひこうてい,舰长
61,247956813,应时IO,舰长
62,33757227,百合型哲学研究家佐仓绫音,舰长
63,5716879,随の逸,舰长
64,12858483,buzzill,舰长
65,521453420,亲亲小迪迪,舰长
66,67944529,鹹魚躺平了,舰长
67,8158858,夢の穹渊,舰长
68,7531160,精神状态间歇性稳定,舰长
69,354906971,诸葛若谷,舰长
70,3546596247603726,空空的empty_,舰长
71,295360970,柠檬尝尝酸不,舰长
72,2012855493,是个卖芒果的,舰长
