rank,uid,username,type
1,766347,Upanチョコ,提督
2,44996638,人生哒呦,提督
3,499403795,白-小灰灰,舰长
4,532705928,八木百货社长,舰长
5,3694282,席雨迎新,舰长
6,9113499,天下の宗一郎,舰长
7,10060958,缥凌,舰长
8,3797081,万般皆命-Inochi,舰长
9,3001757,亞鼎Akanae,舰长
10,337515,Blackの黑土,舰长
11,1757179,黑猫家的黑咪,舰长
12,23740116,东方的西瓜,舰长
13,18075705,夜然z,舰长
14,31102765,一只普通的土豆片,舰长
15,79138148,宽油彭膨芃,舰长
16,319985534,慕澪萨满,舰长
17,186388,美琴丶,舰长
18,14160235,伊卡呦,舰长
19,53390742,肆叁该摸了,舰长
20,561780,理科卷卷卷子,舰长
21,296574,Nz兔子,舰长
22,303387,蕾欧诺菈,舰长
23,2592337,活野猪,舰长
24,98844,眠鳥春告,舰长
25,1833082,方法放寒假,舰长
26,15998465,位面之碎,舰长
27,11866511,顾筱贱,舰长
28,2089736,巫马白,舰长
29,21411177,喵喵喵小薇,舰长
30,1428441528,阿买official,舰长
31,6589249,drjjj,舰长
32,437880151,狂気のMad_Scientist,舰长
33,351667336,只好乱写名字,舰长
34,14650166,败树_Official,舰长
35,346120860,有只CC,舰长
36,20193099,紫雨傲雪,舰长
37,2466201,那朵花未绽放,舰长
38,479612904,无形之名,舰长
39,478193220,冬瓜酱dayo,舰长
40,153861392,燃余の灰烬,舰长
41,657386,三日月PiKa,舰长
42,3546608679520747,がちさん,舰长
43,543794044,LOF_Hades,舰长
44,43837288,DivineBlade,舰长
45,88715919,睡教协会,舰长
46,8208104,Inozl,舰长
47,501527627,贺寻study,舰长
48,8860886,YokiLee17,舰长
49,508757921,二十五号胶片,舰长
50,13637766,夜煩雨聲,舰长
51,22608192,卖萌拯救世界の佩玖吖,舰长
52,12961535,超绝最可爱天使ちやん,舰长
53,93664036,-苑昔-,舰长
54,3546666212788515,炽寂,舰长
55,34351503,本多正纯丶,舰长
56,259854233,早樱家的七君,舰长
57,28355772,帕比酱puppy,舰长
58,687987255,OPM打工人,舰长
59,4488467,CelestialWhisper,舰长
60,203556280,AFS绯,舰长
61,66680440,小叔叔与巴大舅丶,舰长
62,11892333,灬锦锋灬,舰长
63,387965781,霜雪运动-撕卡帝,舰长
64,3546577253697601,路发挥,舰长
65,2767915,晓仔LX,舰长
