rank,uid,username,type
1,766347,Upanチョコ,提督
2,44996638,人生哒呦,提督
3,499403795,白-小灰灰,舰长
4,532705928,八木百货社长,舰长
5,9113499,天下の宗一郎,舰长
6,10060958,缥凌,舰长
7,3694282,席雨迎新,舰长
8,3001757,亞鼎Akanae,舰长
9,3797081,万般皆命-,舰长
10,337515,Blackの黑土,舰长
11,341979543,万年鸽妖,舰长
12,1757179,黑猫家的黑咪,舰长
13,20029293,参议院的震荡波,舰长
14,3099340,Piero菌,舰长
15,23740116,东方的西瓜,舰长
16,18075705,夜然z,舰长
17,79138148,宽油彭膨芃,舰长
18,2605990,雁归归归归,舰长
19,319985534,慕澪萨满,舰长
20,561780,理科卷卷卷子,舰长
21,53390742,肆叁该摸了,舰长
22,1178470738,八木百货,舰长
23,87652821,vaultboymax,舰长
24,303387,蕾欧诺菈,舰长
25,296574,Nz兔子,舰长
26,2592337,钓鱼唔戴头盔,舰长
27,37609310,夜那由多,舰长
28,31102765,一只普通的土豆片,舰长
29,98844,眠鳥春告,舰长
30,9372115,乃乃乃乃乃ww,舰长
31,14160235,伊卡呦,舰长
32,1833082,方法放寒假,舰长
33,186388,美琴丶,舰长
34,15998465,位面之碎,舰长
35,2089736,巫马白,舰长
36,3638173,苏菲的移动城堡,舰长
37,21411177,喵喵喵小薇,舰长
38,1428441528,阿买official,舰长
39,6589249,drjjj,舰长
40,23985,黒猫サクヤ,舰长
41,351667336,只好乱写名字,舰长
42,1895012471,蕡实Astre,舰长
43,14650166,败树_Official,舰长
44,437880151,狂気のMad_Scientist,舰长
45,20193099,紫雨傲雪,舰长
46,206212277,sifanbaobao,舰长
47,3758265,北方栖宅,舰长
48,59701239,孤狼群豺,舰长
49,479612904,无形之名,舰长
50,478193220,冬瓜酱dayo,舰长
51,2784594,三文鱼今天撑得吐泡泡,舰长
52,22977747,很难受的夹子,舰长
53,3546380744263888,夜然子,舰长
54,33553653,乌里扬诺夫斯卡,舰长
55,34188791,frysta,舰长
56,289546533,SHinNIN9,舰长
57,44559793,咖啡mx,舰长
58,3546608679520747,がちさん,舰长
59,349528549,无血战舰_㓕,舰长
60,657386,三日月PiKa,舰长
61,3546601662450372,紫雨傲雪1,舰长
62,3546595800910748,西米橙,舰长
63,391799849,来自南极的我,舰长
64,26325760,零-时,舰长
65,508757921,二十五号胶片,舰长
66,93664036,-苑昔-,舰长
67,182819395,weishengod,舰长
