rank,uid,username,type
1,766347,Upanチョコ,提督
2,499403795,白-小灰灰,舰长
3,532705928,八木百货社长,舰长
4,9113499,天下の宗一郎,舰长
5,10060958,缥凌,舰长
6,3001757,亞鼎Akanae,舰长
7,3694282,席雨迎新,舰长
8,3797081,万般皆命-,舰长
9,337515,Blackの黑土,舰长
10,16341643,角狩猎犬,舰长
11,1757179,黑猫家的黑咪,舰长
12,20029293,参议院的震荡波,舰长
13,23740116,东方的西瓜,舰长
14,3099340,Piero菌,舰长
15,2605990,雁归归归归,舰长
16,2923660,莫塔塔,舰长
17,79138148,宽油彭膨芃,舰长
18,561780,理科卷卷卷子,舰长
19,319985534,慕澪萨满,舰长
20,87652821,vaultboymax,舰长
21,18075705,夜然z,舰长
22,296574,Nz兔子,舰长
23,303387,蕾欧诺菈,舰长
24,9372115,乃乃乃乃乃ww,舰长
25,7888439,小軒丿,舰长
26,2592337,mkijnuhyt,舰长
27,37609310,夜那由多,舰长
28,98844,眠鳥春告,舰长
29,60462037,Gouryella2022,舰长
30,186388,美琴丶,舰长
31,1833082,方法放寒假,舰长
32,15998465,位面之碎,舰长
33,221830917,氪氪子OvO,舰长
34,2089736,巫马白,舰长
35,53390742,肆叁该摸了,舰长
36,628815609,参离昴,舰长
37,187055,vincent.,舰长
38,1895012471,蕡实Astre,舰长
39,4245221,dhfuvn,舰长
40,413327781,HXD1D-0546,舰长
41,21411177,喵喵喵小薇,舰长
42,23314626,君子猿鹤,舰长
43,437880151,狂気のMad_Scientist,舰长
44,1428441528,阿买official,舰长
45,351667336,只好乱写名字,舰长
46,14650166,败树_Official,舰长
47,2466201,那朵花未绽放,舰长
48,206212277,sifanbaobao,舰长
49,700424407,爱零贰的万星597-,舰长
50,1234347993,醉语铃兰笙,舰长
51,24931993,阿柴的鸭,舰长
52,478193220,冬瓜酱dayo,舰长
53,400794725,JO瑟夫刀仔,舰长
54,20193099,紫雨傲雪,舰长
55,381741167,炽莨Bryant,舰长
56,9147423,吃包子的包公,舰长
57,324235823,浮生若梦-sf,舰长
58,1103055429,阿柒琪齐七奇,舰长
59,8117918,摘妹,舰长
60,379224155,无明想躺平,舰长
61,348639497,彼方莲,舰长
62,24026776,路过被猫咬了的辘轳,舰长
63,677871244,孩子想要传家宝,舰长
64,275576145,垚不要躺平,舰长
65,16270253,输出百分之一,舰长
66,10987475,对短发女孩没有免疫力,舰长
67,4878684,Soleil宁默,舰长
68,3712689,不会游泳de章鱼,舰长
69,3546601662450372,紫雨傲雪1,舰长
70,3546380744263888,夜然子,舰长
71,22977747,很难受的夹子,舰长
72,31102765,一只普通的土豆片,舰长
73,33553653,乌里扬诺夫斯卡,舰长
74,3546608679520747,がちさん,舰长
75,25310132,几机威,舰长
76,23105111,棠琳です,舰长
77,616754119,诺堡,舰长
78,687418041,维狸尔_office,舰长
79,668326330,wu伊撒尔,舰长
80,26197617,带发发,舰长
81,2124833100,李华NOE,舰长
82,397395142,Kagurayame,舰长
83,227807,碧焱,舰长
84,897763,你的良良吖,舰长
85,25509218,北斋ikol,舰长
86,666922,白 偶尔是水珠,舰长
87,57538052,坚持向前,舰长
88,496331601,RO宝的小狗,舰长
89,488923791,Requiem苍穹,舰长
90,452721841,账号注销49438,舰长
91,39508000,努力丶减肥,舰长
92,3546386102487110,黎月幻殇呀,舰长
93,3493125729290959,头文字刀-,舰长
94,3033920,某黑尾鸥先生,舰长
95,190016971,冰熊桑-,舰长
96,184498887,璃心keiran,舰长
97,149964885,-心臟-,舰长
98,12808883,白衣渡江Official,舰长
99,12189962,读书先生OvO,舰长
100,1218739104,bili_41998913906,舰长
101,73877441,跑LuLu,舰长
102,358781170,Evan怨灵,舰长
103,289989236,鬼逢玉林,舰长
