rank,uid,username,type
1,766347,Upanチョコ,提督
2,44996638,人生哒呦,提督
3,499403795,白-小灰灰,舰长
4,532705928,八木百货社长,舰长
5,9113499,天下の宗一郎,舰长
6,3694282,席雨迎新,舰长
7,10060958,缥凌,舰长
8,3797081,万般皆命-Inochi,舰长
9,3001757,亞鼎Akanae,舰长
10,337515,Blackの黑土,舰长
11,1757179,黑猫家的黑咪,舰长
12,20029293,参议院的震荡波,舰长
13,23740116,东方的西瓜,舰长
14,18075705,夜然z,舰长
15,31102765,一只普通的土豆片,舰长
16,79138148,宽油彭膨芃,舰长
17,319985534,慕澪萨满,舰长
18,186388,美琴丶,舰长
19,14160235,伊卡呦,舰长
20,53390742,肆叁该摸了,舰长
21,561780,理科卷卷卷子,舰长
22,296574,Nz兔子,舰长
23,303387,蕾欧诺菈,舰长
24,2592337,活野猪,舰长
25,98844,眠鳥春告,舰长
26,1833082,方法放寒假,舰长
27,15998465,位面之碎,舰长
28,2089736,巫马白,舰长
29,11866511,顾筱贱,舰长
30,21411177,喵喵喵小薇,舰长
31,1428441528,阿买official,舰长
32,23985,霜雪黑猫月澪,舰长
33,437880151,狂気のMad_Scientist,舰长
34,6589249,drjjj,舰长
35,351667336,只好乱写名字,舰长
36,14650166,败树_Official,舰长
37,346120860,有只CC,舰长
38,1895012471,蕡实astre,舰长
39,20193099,紫雨傲雪,舰长
40,2466201,那朵花未绽放,舰长
41,479612904,无形之名,舰长
42,478193220,冬瓜酱dayo,舰长
43,2784594,三文鱼今天痛得吐泡泡,舰长
44,153861392,燃余の灰烬,舰长
45,657386,三日月PiKa,舰长
46,3546608679520747,がちさん,舰长
47,543794044,LOF_Hades,舰长
48,43837288,DivineBlade,舰长
49,88715919,睡教协会,舰长
50,501527627,贺寻study,舰长
51,8860886,YokiLee17,舰长
52,39508000,努力丶减肥,舰长
53,508757921,二十五号胶片,舰长
54,13637766,夜煩雨聲,舰长
55,26325760,零-时,舰长
56,22608192,卖萌拯救世界の佩玖吖,舰长
57,12961535,超绝最可爱天使ちやん,舰长
58,1977034,寂渢,舰长
59,24779619,夜纤幻,舰长
60,93664036,-苑昔-,舰长
61,3546666212788515,炽寂,舰长
62,34351503,本多正纯丶,舰长
63,11230340,店长也是掌柜的,舰长
64,28355772,帕比酱puppy,舰长
65,1272401000,Y夏a,舰长
66,73877441,跑不过RO宝的LuLu,舰长
67,687987255,OPM打工人,舰长
68,37670574,RyL1nTRL,舰长
69,1011031847,ロウゴン,舰长
70,89358461,Dr4cul4丶CX,舰长
71,4488467,CelestialWhisper,舰长
72,203556280,AFS绯,舰长
73,38102125,只是那次突然,舰长
74,211624391,随缘的诹訾,舰长
75,566090948,四月星空如梦幻,舰长
76,9439741,Conflagration,舰长
77,66680440,小叔叔与巴大舅丶,舰长
78,602136532,小芹菜菜喔,舰长
79,4775817,亚让丶,舰长
80,259854233,早樱家的七君,舰长
81,197738097,DK鸭,舰长
82,1574423224,睡吧睡吧zZ,舰长
83,1423689037,WindowsFT,舰长
84,11892333,灬锦锋灬,舰长
85,10880619,SleepC,舰长
86,1101543542,呼呼大睡的小熊,舰长
87,8917352,现在喜欢一个人,舰长
88,33757227,百合型哲学研究家佐仓绫音,舰长
89,325265830,小y-燃起来辣,舰长
90,3494361102813661,Vasky_L,舰长
91,91870426,霜雪木头,舰长
92,14323936,六个零_0oooo0,舰长
93,400611428,霜雪一只貂,舰长
94,147069532,水_霜雪_幽羽朔风,舰长
95,36888093,小呜殿下,舰长
96,3546625737755156,shadow--Q,舰长
97,8171423,玩-命,舰长
98,652004678,龙星哦,舰长
99,5716879,随の逸,舰长
100,514358235,小钱收集中,舰长
101,49978184,练习册6,舰长
102,456569879,晨曦灬shine,舰长
103,3938218,十六業咲夜丶,舰长
104,387965781,霜雪运动-撕卡帝,舰长
105,3546577253697601,路发挥,舰长
106,3546559878793247,啵奇_Pochi,舰长
107,2926647,ZZzz-003,舰长
108,289111297,超爱看肉宝的小A君,舰长
109,2767915,晓仔LX,舰长
110,257199535,霜雪长空忆,舰长
111,1937465883,血枫岚,舰长
112,13867673,hellohihalo,舰长
